wavelength_nm,flux
369.99863,8517.603
370.08383,8235.568
370.16907,8379.654
370.2543,8846.192
370.33957,8640.389
370.42487,8073.3413
370.51016,8640.337
370.5955,9034.705
370.68082,8740.857
370.76617,8690.198
370.85156,8585.925
370.93695,8853.582
371.0224,8638.141
371.10782,7816.213
371.1933,7826.786
371.27875,7971.8237
371.36426,7420.7627
371.44977,7818.9907
371.53534,8175.1104
371.62088,8473.986
371.70648,7893.61
371.79205,8372.115
371.8777,8169.424
371.96332,7919.064
372.04898,7894.449
372.13464,7938.4224
372.22034,7580.658
372.30606,8187.728
372.39178,7993.938
372.47757,8512.365
372.56332,8343.028
372.6491,8911.851
372.73492,7955.104
372.82077,8410.622
372.90665,7818.9414
372.9925,7514.445
373.0784,7105.7266
373.16434,7211.6387
373.25024,7880.061
373.3362,8221.011
373.42218,8720.79
373.50818,9208.563
373.59418,9100.863
373.68024,9623.697
373.7663,8899.791
373.85236,9104.767
373.93842,8882.155
374.02457,8743.357
374.1107,8135.334
374.19684,7881.691
374.28302,6955.2295
374.3692,7551.6885
374.4554,7917.024
374.54166,8089.4175
374.6279,8731.535
374.71417,9431.848
374.80048,9815.17
374.88678,10381.422
374.97308,10644.201
375.05945,10465.99
375.1458,10785.7
375.2322,10807.228
375.31863,10194.119
375.40506,9832.163
375.49152,9551.136
375.57797,8920.631
375.66446,8439.866
375.75098,7655.4043
375.8375,7257.604
375.92404,7010.131
376.01062,7189.993
376.09723,8084.9175
376.1838,8542.734
376.27045,8953.874
376.35712,9537.621
376.4438,9924.747
376.53046,10052.96
376.61716,10750.346
376.70392,10553.541
376.79065,10397.382
376.8774,11265.352
376.9642,11261.569
377.051,10899.773
377.13785,10570.333
377.22467,10480.642
377.31158,10763.338
377.39844,10326.219
377.48535,9771.6
377.5723,9073.47
377.65924,8559.111
377.74622,8189.5757
377.8332,7332.048
377.92023,7005.5356
378.00723,7541.7563
378.0943,7365.4883
378.18134,8175.622
378.26843,8279.436
378.35553,9263.257
378.4427,9944.664
378.52985,10048.188
378.617,10548.897
378.7042,11318.297
378.7914,10999.637
378.87863,11325.364
378.96588,11467.658
379.05316,10827.152
379.14044,10967.381
379.22775,11350.343
379.3151,11597.673
379.40244,11103.428
379.4898,11128.958
379.5772,11273.347
379.6646,10957.056
379.752,11377.802
379.83948,10885.923
379.92694,10647.686
380.01447,10525.654
380.10196,10431.884
380.1895,9400.48
380.27704,9255.898
380.36462,8751.623
380.4522,8162.4033
380.53983,7419.5215
380.62747,6866.7026
380.71512,6744.225
380.8028,7043.471
380.89047,7939.4
380.9782,8063.678
381.06592,8823.72
381.1537,9283.345
381.24146,9763.304
381.32925,9934.494
381.41705,9765.017
381.50488,10212.626
381.59274,10548.24
381.6806,10599.403
381.7685,10708.757
381.8564,11101.269
381.94437,11288.349
382.03232,11546.466
382.1203,11409.108
382.2083,10975.227
382.29633,11251.152
382.38434,11039.4795
382.4724,11040.661
382.5605,10291.778
382.6486,9886.353
382.7367,9059.173
382.82486,8871.166
382.913,8941.04
383.00116,9249.345
383.0894,10028.682
383.17758,10530.17
383.26584,10922.673
383.3541,11076.182
383.44238,11117.054
383.5307,10871.076
383.619,10966.588
383.70734,10612.16
383.79572,10396.089
383.8841,9539.894
383.97247,9260.712
384.0609,8525.845
384.14935,8352.324
384.23782,7243.1553
384.3263,6934.415
384.41483,6274.4014
384.50336,6444.1973
384.59186,7161.1904
384.68045,7426.931
384.76904,8285.817
384.85764,9084.932
384.94626,9104.415
385.0349,9897.88
385.1236,10148.827
385.21228,10570.204
385.30096,10536.244
385.3897,10469.236
385.47845,10810.544
385.56723,10877.1455
385.656,10741.34
385.7448,11025.48
385.83368,10906.61
385.92252,10885.345
386.01138,10830.488
386.10028,11051.233
386.18918,11049.29
386.27814,11129.821
386.36707,10965.508
386.45605,10668.485
386.54504,10789.939
386.63406,11166.213
386.72308,10942.724
386.81216,11009.608
386.9012,11105.055
386.99033,10610.182
387.07944,10792.909
387.16858,10644.629
387.25775,10469.576
387.34692,10826.987
387.43613,10456.745
387.52533,10233.89
387.61456,10240.907
387.70386,10198.657
387.79315,10242.054
387.88242,10155.116
387.97174,10034.166
388.0611,10120.869
388.15045,10016.953
388.23984,9887.57
388.32925,10018.297
388.41867,10383.031
388.50812,10102.004
388.5976,9996.855
388.68707,9965.564
388.77658,10217.05
388.86612,10249.833
388.95566,10013.243
389.04523,9478.531
389.13483,9442.731
389.22443,8846.589
389.3141,9217.8955
389.40375,8514.756
389.4934,7671.4756
389.5831,7129.2583
389.67282,6776.744
389.76254,6086.663
389.85233,6131.59
389.94208,6491.0225
390.0319,7127.5757
390.1217,7685.4844
390.21155,7908.2573
390.3014,9067.597
390.3913,8813.448
390.48117,9486.856
390.5711,9546.582
390.66107,9765.338
390.751,10052.876
390.841,10412.13
390.931,10677.686
391.02103,10117.577
391.11108,10428.203
391.20114,10101.958
391.29123,10518.637
391.38135,10243.0625
391.47147,10203.193
391.5616,10121.484
391.6518,10489.886
391.74197,9999.353
391.83218,10192.904
391.92242,10500.2
392.01266,10255.052
392.10297,10665.633
392.19324,10655.279
392.28357,10444.927
392.3739,10434.188
392.46426,10159.708
392.55463,10377.635
392.64505,10369.786
392.73544,10103.015
392.8259,9912.724
392.91635,9626.233
393.00684,9644.028
393.09735,9732.373
393.18787,9575.508
393.2784,9435.553
393.36896,9126.657
393.45956,8620.276
393.55017,8538.7
393.6408,8645.668
393.73145,9303.346
393.8221,9925.178
393.9128,10020.062
394.00354,10171.817
394.09427,10251.221
394.185,10064.817
394.2758,9955.306
394.36658,10006.791
394.4574,10256.644
394.54825,10512.984
394.6391,10536.452
394.72998,10653.109
394.82086,10240.19
394.9118,10765.329
395.00275,10457.071
395.0937,10524.093
395.1847,10350.172
395.2757,10280.566
395.36673,10372.513
395.45776,10341.7705
395.54883,9950.022
395.63992,10291.866
395.73102,9835.119
395.82217,10358.811
395.91333,10279.94
396.0045,10030.292
396.09567,9958.686
396.1869,9822.499
396.27814,10020.739
396.3694,9658.186
396.46066,9854.792
396.55197,9654.197
396.64328,9972.616
396.73462,9890.812
396.826,9688.281
396.9174,9157.868
397.0088,8840.214
397.1002,9023.87
397.19165,8608.471
397.28314,8496.039
397.3746,7851.722
397.46613,7487.492
397.55765,7114.0317
397.6492,6653.906
397.74078,6115.1562
397.83237,5588.159
397.92398,5584.8774
398.01562,5477.42
398.10727,5864.037
398.19894,6679.9507
398.29065,7079.7803
398.3824,7643.06
398.47412,8301.034
398.56586,8379.178
398.65765,8534.806
398.74945,8754.364
398.84128,9094.667
398.93314,9372.591
399.025,9031.096
399.11688,9007.751
399.2088,9450.467
399.30072,9480.329
399.3927,9216.95
399.48468,9352.644
399.57666,9314.673
399.66867,9517.781
399.7607,9518.533
399.85278,9369.875
399.94485,9611.24
400.03696,9260.884
400.1291,9416.339
400.22122,9208.676
400.3134,9182.047
400.40558,9023.212
400.49777,9239.958
400.59003,9277.377
400.68225,9456.844
400.77454,9375.756
400.86682,9214.232
400.95914,9640.969
401.05145,9474.605
401.14383,9486.922
401.2362,9378.725
401.3286,9166.256
401.42102,9272.031
401.51346,9073.412
401.60593,8852.052
401.69843,8257.617
401.79092,7915.9365
401.88345,7868.7354
401.97598,8245.236
402.06854,8319.77
402.16116,8923.913
402.25375,9259.894
402.34637,9299.202
402.43903,9466.172
402.5317,9249.642
402.62442,9205.58
402.71713,9119.575
402.80988,9349.222
402.90265,9062.55
402.99542,9188.978
403.08823,8864.506
403.18106,8632.845
403.2739,8078.3066
403.36676,7646.479
403.45966,7108.295
403.55255,6794.22
403.6455,7129.0903
403.73846,7421.458
403.83142,8180.716
403.9244,9010.743
404.01743,8824.166
404.11047,8993.186
404.20355,8887.226
404.29663,8892.004
404.3897,8948.848
404.48285,8902.651
404.576,8941.363
404.66916,9111.609
404.76236,9257.943
404.85556,9152.727
404.9488,9171.55
405.04205,9030.046
405.1353,8972.484
405.2286,8928.83
405.32196,8841.884
405.41528,8969.214
405.50864,8938.626
405.60202,8864.029
405.69543,8962.952
405.78885,9111.675
405.8823,8906.522
405.97577,8919.108
406.06927,8873.723
406.16278,9130.716
406.2563,8921.396
406.34985,9096.678
406.44342,8980.02
406.53705,9061.212
406.63065,9011.989
406.7243,8886.527
406.81793,9060.628
406.91165,8712.735
407.00534,8874.304
407.09906,8849.526
407.1928,8932.504
407.2866,8965.749
407.38037,8862.928
407.47418,8960.359
407.56805,9227.345
407.6619,9023.254
407.75577,9087.99
407.84967,8763.92
407.94357,8840.553
408.03754,8685.187
408.1315,8711.804
408.2255,8471.219
408.3195,8548.088
408.4135,8550.862
408.50757,8363.45
408.60162,8344.835
408.69574,8524.56
408.78986,8456.692
408.88397,8626.168
408.97815,8667.229
409.07233,8689.965
409.16653,8603.551
409.26077,8806.679
409.355,8601.88
409.44928,8651.731
409.54358,8532.069
409.63788,8521.037
409.73224,8803.869
409.82657,8378.341
409.92096,8396.967
410.01532,8355.327
410.10977,8372.96
410.2042,8298.844
410.29868,7986.6963
410.39316,7907.3813
410.48764,7604.2407
410.58218,7374.983
410.67676,7058.3496
410.77133,6582.6426
410.8659,6043.059
410.96054,5279.386
411.05518,4984.803
411.1498,4912.8926
411.24454,5000.9443
411.3392,5496.3896
411.43393,6172.091
411.52866,6641.2275
411.62344,6952.518
411.71826,7390.747
411.81305,7647.41
411.9079,7694.3174
412.00275,7914.6924
412.0976,8143.6445
412.19254,8047.296
412.28745,8227.038
412.3824,8173.592
412.47736,8037.0537
412.57236,8486.273
412.66733,8174.0894
412.7624,8052.19
412.85742,7640.114
412.95248,7613.196
413.0476,7340.0127
413.14273,7978.6836
413.23788,7889.2036
413.333,7961.102
413.42822,8039.9663
413.52344,7944.783
413.61865,7990.526
413.71393,8114.372
413.80917,7891.471
413.90445,7752.8037
413.99982,7982.4697
414.09512,7837.4897
414.1905,7922.615
414.28583,7935.6772
414.38126,8091.1357
414.4767,8011.8223
414.5721,8104.679
414.66763,8176.2173
414.7631,8048.3423
414.85858,7866.9463
414.95416,7682.345
415.0497,7558.117
415.14526,7371.6543
415.24088,6852.2876
415.33652,6753.569
415.4322,6898.8276
415.52783,7249.9873
415.62354,7511.7666
415.71924,7927.086
415.81494,8057.6733
415.9107,8002.715
416.0065,8103.949
416.1023,7991.1895
416.1981,7964.844
416.29395,7916.9683
416.38983,7866.8223
416.4857,7844.83
416.58163,7989.212
416.67755,8069.164
416.77353,8082.833
416.86948,8017.071
416.96548,7923.402
417.06152,7974.781
417.15756,7777.7407
417.2536,7774.432
417.3497,7929.1313
417.4458,7891.3535
417.54193,7819.637
417.6381,7713.181
417.73428,7572.9326
417.83047,7589.991
417.9267,7545.7188
418.02295,7531.7373
418.1192,7851.7007
418.21548,7572.6963
418.31183,7592.8525
418.4081,7666.5205
418.5045,7769.156
418.6009,7826.937
418.69727,7650.567
418.79364,7707.5703
418.89014,7639.987
418.98657,7866.1807
419.08307,7881.8794
419.1796,7982.621
419.27612,8005.009
419.37265,7559.12
419.46924,7874.0273
419.56583,7810.961
419.66245,7907.554
419.7591,7883.595
419.85577,7759.246
419.95245,7696.9917
420.04916,7589.7563
420.1459,7889.3027
420.2426,7671.81
420.33942,7904.057
420.43622,7896.0933
420.53302,7590.056
420.62988,7614.467
420.72675,7602.49
420.82364,7671.9097
420.92056,7638.4907
421.0175,7594.7725
421.1144,7641.6333
421.21136,7653.505
421.3084,7649.8613
421.40543,7700.1353
421.50244,7731.883
421.59952,7674.088
421.69662,7639.6616
421.7937,7593.375
421.89087,7523.8335
421.98798,7606.3486
422.0852,7590.577
422.18237,7735.3887
422.2796,7605.4624
422.37686,7497.9907
422.47412,7537.92
422.57138,7536.0645
422.6687,7342.65
422.76605,7370.356
422.86343,7706.1016
422.9608,7690.7446
423.0582,7590.806
423.1556,7574.979
423.25308,7522.3867
423.35052,7558.73
423.44806,7494.8765
423.54556,7464.9414
423.64307,7567.448
423.74063,7596.972
423.83823,7417.8223
423.93585,7383.607
424.03345,7411.7607
424.1311,7563.39
424.22876,7356.1245
424.32648,7430.3115
424.42416,7567.1787
424.5219,7404.431
424.6197,7352.7017
424.71747,7370.6675
424.81528,7474.8394
424.9131,7492.064
425.01093,7261.825
425.10883,7329.0845
425.2067,7306.273
425.30463,7286.282
425.4026,7309.3857
425.50055,7376.8877
425.59854,7332.9497
425.69653,7190.3237
425.7946,7197.024
425.89264,7503.8657
425.99066,7355.0225
426.08878,7104.1157
426.18692,7200.346
426.28506,7277.295
426.3832,6985.1875
426.48138,7193.848
426.57965,7257.1104
426.6779,7330.0024
426.77612,7425.087
426.87442,7394.579
426.97272,7187.3945
427.07104,7429.087
427.16937,7445.2075
427.26773,7200.9575
427.36615,7235.0557
427.46454,7141.555
427.563,6800.0176
427.66147,6778.046
427.75995,6564.569
427.85846,6805.2495
427.95697,7054.91
428.0555,7141.531
428.1541,7175.6826
428.2527,7331.149
428.35132,7170.2993
428.44995,7164.7534
428.54865,7109.76
428.6473,7002.5337
428.74603,7106.5522
428.8448,7042.975
428.9435,7209.1846
429.0423,7140.408
429.1411,7053.268
429.23993,7139.9644
429.33878,7085.5483
429.43765,6936.5063
429.53653,7015.0015
429.63544,7310.6772
429.73438,7074.725
429.83334,7096.4453
429.9323,7155.9443
430.03134,7147.311
430.13037,7025.5566
430.22943,6898.9443
430.32852,7062.943
430.42758,7116.8916
430.5267,6950.6313
430.6259,7047.7256
430.72504,6953.808
430.82422,7256.2188
430.92343,7031.438
431.02264,7082.8584
431.12192,6881.66
431.2212,7187.3813
431.3205,6906.663
431.41983,6948.1694
431.5192,6997.5537
431.61856,6973.3994
431.71796,7078.866
431.81738,7032.801
431.9168,6888.9985
432.01627,6907.9536
432.11578,6800.667
432.21527,6988.276
432.3148,6789.786
432.41437,6957.9414
432.51398,6917.7144
432.61353,6852.27
432.7132,6870.139
432.8128,6740.6226
432.9125,6845.853
433.01215,6740.619
433.1119,6700.5605
433.2116,6968.5874
433.31137,6824.4897
433.4112,6797.911
433.511,6767.95
433.61084,6705.8086
433.7107,6514.841
433.81055,6544.381
433.91046,6488.188
434.01035,6453.009
434.1103,6416.5728
434.2103,6271.075
434.3103,6164.9805
434.4103,5960.87
434.51035,5804.0044
434.6104,5539.0337
434.7105,5461.919
434.8106,4786.247
434.91074,4202.055
435.0109,4058.4277
435.11102,3941.3184
435.21124,4114.106
435.31146,4547.4272
435.4117,5098.256
435.51196,5585.155
435.61224,5664.9453
435.7126,5775.684
435.81293,5939.3716
435.91327,5984.377
436.01367,6202.2515
436.11407,6252.224
436.2145,6353.112
436.315,6523.355
436.41544,6485.619
436.51596,6476.3423
436.61646,6553.0166
436.71698,6627.3213
436.81757,6663.4814
436.91815,6620.2183
437.0188,6687.006
437.11945,6589.2427
437.22006,6521.708
437.3208,6703.6045
437.42148,6655.0786
437.52222,6503.8774
437.62296,6600.7085
437.72372,6529.1343
437.82455,6452.278
437.92538,6623.126
438.0262,6392.3525
438.1271,6456.097
438.22797,6311.8315
438.32892,6354.2427
438.42984,6309.1157
438.53082,6597.2876
438.63177,6450.347
438.73282,6507.9736
438.83383,6523.5913
438.9349,6410.3843
439.03598,6456.743
439.13705,6507.5635
439.23822,6335.397
439.33936,6360.966
439.44052,6169.478
439.54175,6055.55
439.64297,5672.1904
439.7442,5459.6694
439.84546,5312.7153
439.94672,5505.9443
440.04803,5811.001
440.1494,6032.2085
440.2508,6150.488
440.35214,6346.1865
440.45355,6366.67
440.555,6381.278
440.65643,6215.7466
440.7579,6315.672
440.85944,6335.787
440.96094,6431.0884
441.0625,6387.715
441.16406,6370.939
441.26562,6293.9263
441.36725,6299.185
441.4689,6298.1377
441.57056,6305.296
441.67227,6193.9014
441.774,6223.1035
441.87567,6313.998
441.97745,6244.066
442.07925,6226.162
442.18106,6184.1763
442.28287,6143.21
442.3847,6194.1523
442.48657,6057.816
442.58847,6016.448
442.69043,6088.4707
442.79233,5871.0234
442.89435,6082.8237
442.99628,6041.7793
443.09833,5921.589
443.20038,6039.846
443.30243,6136.079
443.40448,6012.618
443.50665,6059.5337
443.60873,6153.2812
443.71094,6075.5786
443.81308,5880.1553
443.91528,6079.077
444.01752,5923.896
444.11978,5919.328
444.22208,6006.7095
444.32437,5864.067
444.42667,5961.867
444.529,5995.4014
444.6314,5965.467
444.7338,5648.8135
444.83618,5668.4126
444.93863,5882.242
445.0411,5800.5786
445.14355,5832.402
445.2461,5932.55
445.34863,5893.456
445.45117,5891.829
445.55377,5868.579
445.65634,5860.857
445.75897,5789.575
445.86163,6016.272
445.9643,5803.895
446.067,6023.519
446.16974,5956.947
446.27246,5928.1987
446.37524,6013.972
446.47803,5973.1724
446.58087,5895.535
446.6837,6009.8193
446.78656,5930.5635
446.88947,6032.6436
446.99237,6065.701
447.0953,5951.5864
447.19824,5942.582
447.30127,5819.634
447.40424,5904.459
447.50726,5898.546
447.61035,5781.5776
447.71344,5623.7993
447.8165,5484.915
447.91962,5191.3945
448.0228,4805.0947
448.12598,4550.0186
448.22916,4576.5044
448.33237,4862.6006
448.43564,5142.496
448.5389,5607.106
448.64218,5826.299
448.7455,5713.549
448.84882,5746.4014
448.9522,5524.413
449.0556,5388.716
449.159,5463.837
449.26245,5483.565
449.3659,5643.092
449.4694,5647.6367
449.5729,5735.314
449.67642,5731.6187
449.77997,5757.9966
449.88354,5750.8887
449.98715,5822.8574
450.09076,5741.444
450.19443,5677.115
450.2981,5682.955
450.4018,5776.3247
450.50552,5777.038
450.60928,5704.122
450.71304,5659.7983
450.8168,5773.742
450.92065,5857.9805
451.02448,5902.37
451.12833,5767.0635
451.23224,5705.688
451.33612,5794.0767
451.4401,5761.5903
451.54404,5742.027
451.648,5838.003
451.75204,5814.9326
451.85605,5754.728
451.9601,5700.7725
452.0642,5686.7373
452.1683,5563.9707
452.2724,5684.7124
452.37656,5643.4824
452.48077,5819.4463
452.58496,5667.6025
452.68915,5757.9805
452.7934,5666.3594
452.8977,5601.863
453.002,5745.377
453.1063,5727.8896
453.21063,5672.603
453.31503,5586.5938
453.41943,5519.0195
453.52383,5683.092
453.62827,5507.9736
453.73273,5581.0825
453.83722,5578.0303
453.94174,5596.698
454.0463,5479.8774
454.15082,5406.2183
454.25543,5545.7383
454.36002,5588.206
454.46466,5649.6274
454.56927,5663.2334
454.67398,5591.2544
454.77872,5654.7896
454.88345,5605.38
454.9882,5566.9775
455.09296,5667.987
455.19775,5588.1934
455.30258,5485.2773
455.4074,5506.6284
455.5123,5522.0054
455.6172,5581.3228
455.7221,5587.6055
455.82706,5459.024
455.93204,5437.922
456.03702,5526.4697
456.14203,5415.718
456.24707,5230.0737
456.35214,5233.763
456.45728,5314.174
456.56235,5362.835
456.66754,5483.881
456.77264,5530.3237
456.87787,5431.5493
456.98306,5490.2476
457.08832,5486.255
457.19354,5579.5645
457.29883,5493.64
457.40414,5516.1533
457.50946,5374.869
457.61484,5464.459
457.7202,5288.6343
457.82562,5173.915
457.93106,5246.9336
458.03653,5253.619
458.142,5452.5386
458.2475,5436.035
458.35303,5381.8306
458.4586,5305.122
458.56415,5271.619
458.66977,5205.4136
458.7754,5381.3394
458.88104,5365.6313
458.98672,5404.75
459.09244,5345.8237
459.19815,5363.5005
459.30386,5336.14
459.40967,5248.0625
459.51544,5345.2827
459.62125,5357.6777
459.7271,5329.52
459.83295,5305.105
459.93887,5361.6685
460.04477,5229.925
460.15073,5207.5215
460.25668,5292.726
460.3627,5253.089
460.4687,5285.759
460.57477,5253.4937
460.68082,5269.3604
460.78687,5289.9917
460.893,5337.036
460.9991,5287.343
461.1053,5229.047
461.2115,5289.125
461.3177,5149.0093
461.42392,5072.298
461.53018,5230.801
461.63647,5324.406
461.74277,5301.3525
461.84912,5212.503
461.95547,5126.67
462.06186,5226.548
462.16827,5304.823
462.27472,5262.8574
462.38116,5164.3955
462.4876,5132.6313
462.59415,5227.471
462.70062,5222.568
462.80722,5319.7017
462.91376,5196.705
463.02036,5108.3555
463.127,4978.29
463.23364,5051.527
463.34033,5172.0356
463.44702,5169.8022
463.55377,5247.11
463.6605,5301.447
463.76727,5185.9185
463.87408,5148.596
463.9809,5240.461
464.08774,5164.6797
464.19464,5176.826
464.3015,5135.785
464.40845,5092.161
464.51538,5149.479
464.62238,5180.793
464.72934,5184.118
464.83636,5106.344
464.94342,5154.007
465.05048,5025.0444
465.15756,5085.5723
465.2647,5029.5557
465.3719,5166.818
465.479,5044.4077
465.58624,5043.1987
465.69342,5193.953
465.8007,5081.3926
465.90796,5070.758
466.01523,4928.374
466.12256,5037.598
466.2299,5072.5767
466.33725,5183.6587
466.44464,5163.382
466.55206,5148.8945
466.65952,5193.889
466.76694,5072.5005
466.87445,5107.4136
466.982,5159.1646
467.0895,5021.0283
467.19708,4993.1987
